invoice_no,customer_id,gender,age,category,quantity,total_price,payment_method,Order Date,Month,Year,shopping_mall
I138884,C241288,Female,28,Clothing,5,1500.4,Credit Card,5-Sep-19,September,2019,Kanyon
I317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,5-Sep-19,September,2019,Forum Istanbul
I127801,C266599,Male,20,Clothing,1,300.08,Cash,17-Jun-21,June,2021,Metrocity
I173702,C988172,Female,66,Shoes,5,3000.85,Credit Card,15-Jul-21,July,2021,Metropol AVM
I337046,C189076,Female,53,Books,4,60.6,Cash,15-Jul-21,July,2021,Kanyon
I227836,C657758,Female,28,Clothing,5,1500.4,Credit Card,4-Aug-21,August,2021,Forum Istanbul
I121056,C151197,Female,49,Cosmetics,1,40.66,Cash,21-Jan-22,January,2022,Istinye Park
I293112,C176086,Female,32,Clothing,2,600.16,Credit Card,20-May-22,May,2022,Mall of Istanbul
I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,2-Jan-19,January,2019,Metrocity
I326945,C283361,Female,60,Clothing,2,600.16,Credit Card,5-Sep-19,September,2019,Kanyon
I306368,C240286,Female,36,Food & Beverage,2,10.46,Cash,8-Mar-21,March,2021,Metrocity
I139207,C191708,Female,29,Books,1,15.15,Credit Card,28-Oct-20,October,2020,Emaar Square Mall
I640508,C225330,Female,67,Toys,4,143.36,Debit Card,2-Jul-22,July,2022,Metrocity
I179802,C312861,Male,25,Clothing,2,600.16,Cash,22-May-20,May,2020,Cevahir AVM
I336189,C555402,Female,67,Clothing,2,600.16,Credit Card,5-Apr-22,April,2022,Kanyon
I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,7-Jun-22,June,2022,Viaport Outlet
I294687,C300786,Male,65,Books,2,30.3,Debit Card,20-Mar-19,March,2019,Metrocity
I195744,C330667,Female,42,Food & Beverage,3,15.69,Credit Card,19-Oct-19,October,2019,Zorlu Center
I993048,C218149,Female,46,Clothing,2,600.16,Cash,13-Jun-19,June,2019,Metropol AVM
I992454,C196845,Male,24,Toys,4,143.36,Cash,4-Dec-20,December,2020,Cevahir AVM
I183746,C220180,Male,23,Clothing,1,300.08,Credit Card,4-Dec-20,December,2020,Emaar Square Mall
I412481,C125696,Female,27,Food & Beverage,1,5.23,Cash,4-Dec-20,December,2020,Cevahir AVM
I823067,C322947,Male,52,Clothing,2,600.16,Credit Card,22-Jan-21,January,2021,Cevahir AVM
I252275,C313348,Male,44,Technology,5,5250,Cash,11-Feb-22,February,2022,Kanyon
I174250,C204553,Female,42,Books,5,75.75,Cash,15-Sep-21,September,2021,Metrocity
I195396,C285161,Male,51,Toys,2,71.68,Debit Card,24-Oct-20,October,2020,Istinye Park
I196704,C289625,Female,25,Cosmetics,5,203.3,Credit Card,20-Feb-19,February,2019,Mall of Istanbul
I217053,C192344,Male,50,Shoes,4,2400.68,Cash,8-Oct-19,October,2019,Emaar Square Mall
I655874,C447138,Female,65,Shoes,3,1800.51,Cash,2-Aug-22,August,2022,Cevahir AVM
I209744,C251229,Male,29,Cosmetics,3,121.98,Credit Card,20-Feb-19,February,2019,Istinye Park
I161949,C159164,Female,66,Toys,3,107.52,Debit Card,25-Sep-21,September,2021,Mall of Istanbul
I331891,C501658,Male,23,Clothing,1,300.08,Credit Card,25-Sep-21,September,2021,Emaar Square Mall
I768348,C176727,Female,32,Shoes,3,1800.51,Credit Card,25-Sep-21,September,2021,Kanyon
I109053,C232624,Male,51,Clothing,4,1200.32,Debit Card,17-Jul-21,July,2021,Metrocity
I167211,C164092,Female,66,Shoes,4,2400.68,Credit Card,29-Jun-20,June,2020,Zorlu Center
I339732,C276887,Male,68,Food & Beverage,1,5.23,Credit Card,1-Jun-21,June,2021,Emaar Square Mall
I147062,C245456,Male,43,Clothing,5,1500.4,Credit Card,6-Feb-21,February,2021,Kanyon
I187519,C450287,Female,59,Clothing,2,600.16,Credit Card,25-Apr-19,April,2019,Metrocity
I106674,C204279,Male,54,Clothing,2,600.16,Cash,25-Apr-20,April,2020,Kanyon
I473411,C452806,Male,24,Clothing,1,300.08,Cash,24-Nov-21,November,2021,Metropol AVM
I246550,C716788,Female,49,Food & Beverage,3,15.69,Cash,19-Apr-21,April,2021,Zorlu Center
I138674,C155059,Male,67,Cosmetics,2,81.32,Credit Card,7-Jul-22,July,2022,Metropol AVM
I752693,C306662,Female,48,Cosmetics,3,121.98,Cash,22-May-19,May,2019,Metrocity
I826174,C607615,Female,40,Shoes,4,2400.68,Cash,4-Oct-21,October,2021,Metrocity
I296025,C120164,Female,41,Shoes,3,1800.51,Credit Card,11-Apr-20,April,2020,Kanyon
I117291,C134449,Male,46,Books,5,75.75,Credit Card,31-Jan-22,January,2022,Zorlu Center
I267193,C317818,Female,19,Cosmetics,3,121.98,Credit Card,7-Nov-19,November,2019,Mall of Istanbul
I205366,C241642,Female,43,Clothing,4,1200.32,Debit Card,28-Jun-19,June,2019,Zorlu Center
I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,11-Sep-20,September,2020,Zorlu Center
I304265,C653385,Female,22,Books,5,75.75,Debit Card,17-Aug-22,August,2022,Forum Istanbul
I246562,C227070,Female,61,Cosmetics,5,203.3,Cash,19-Aug-22,August,2022,Emaar Square Mall
I202367,C317478,Female,41,Books,3,45.45,Cash,15-May-19,May,2019,Istinye Park
I664787,C237330,Female,53,Cosmetics,2,81.32,Credit Card,11-Sep-19,September,2019,Istinye Park
I160777,C626042,Female,43,Technology,4,4200,Cash,11-Sep-19,September,2019,Metrocity
I137794,C133687,Female,45,Food & Beverage,3,15.69,Debit Card,16-Mar-21,March,2021,Viaport Outlet
I148377,C841663,Female,29,Clothing,1,300.08,Cash,3-Dec-20,December,2020,Istinye Park
I258195,C213742,Male,43,Toys,2,71.68,Cash,27-Jan-20,January,2020,Kanyon
I300213,C962515,Female,19,Clothing,4,1200.32,Credit Card,17-Jul-22,July,2022,Kanyon
I263803,C112279,Female,67,Food & Beverage,3,15.69,Cash,4-Mar-22,March,2022,Kanyon
I335713,C158837,Female,36,Books,4,60.6,Cash,7-Dec-21,December,2021,Kanyon
I133061,C336576,Male,64,Clothing,5,1500.4,Credit Card,25-Feb-21,February,2021,Mall of Istanbul
I207205,C716161,Female,33,Clothing,1,300.08,Debit Card,25-Feb-19,February,2019,Kanyon
I209289,C439382,Female,33,Clothing,4,1200.32,Credit Card,9-Feb-19,February,2019,Kanyon
I157285,C123427,Male,66,Clothing,4,1200.32,Cash,7-Feb-20,February,2020,Mall of Istanbul
I218590,C224743,Female,29,Cosmetics,4,162.64,Debit Card,23-Mar-20,March,2020,Metropol AVM
I181109,C119549,Male,22,Toys,3,107.52,Cash,6-Mar-22,March,2022,Mall of Istanbul
I221715,C187266,Female,63,Food & Beverage,3,15.69,Cash,15-Apr-22,April,2022,Cevahir AVM
I204979,C173084,Female,24,Souvenir,5,58.65,Debit Card,19-Nov-21,November,2021,Istinye Park
I115146,C126956,Female,24,Cosmetics,5,203.3,Cash,16-Oct-19,October,2019,Metrocity
I883721,C236859,Female,44,Technology,5,5250,Credit Card,26-Nov-19,November,2019,Mall of Istanbul
I402376,C309926,Male,34,Shoes,5,3000.85,Cash,30-Jun-19,June,2019,Forum Istanbul
I251356,C493252,Female,47,Cosmetics,4,162.64,Cash,4-Jan-21,January,2021,Kanyon
I292239,C109871,Male,38,Food & Beverage,5,26.15,Cash,27-Oct-20,October,2020,Mall of Istanbul
I276526,C136117,Female,57,Shoes,5,3000.85,Debit Card,15-Jun-21,June,2021,Emaar Square Mall
I260525,C258404,Male,67,Toys,3,107.52,Cash,19-Jul-21,July,2021,Emaar Square Mall
I870944,C169749,Male,41,Souvenir,3,35.19,Credit Card,23-Jul-21,July,2021,Cevahir AVM
I739573,C199947,Female,40,Clothing,5,1500.4,Debit Card,25-Jan-20,January,2020,Kanyon
I115870,C135790,Female,69,Shoes,4,2400.68,Cash,9-May-19,May,2019,Metrocity
I190444,C606418,Female,47,Food & Beverage,5,26.15,Cash,30-Mar-20,March,2020,Mall of Istanbul
I309552,C111611,Female,53,Food & Beverage,4,20.92,Credit Card,13-Mar-22,March,2022,Istinye Park
I306076,C679476,Male,40,Toys,2,71.68,Cash,17-Apr-19,April,2019,Emaar Square Mall
I321683,C542025,Male,60,Cosmetics,4,162.64,Credit Card,25-Oct-19,October,2019,Metrocity
I151332,C168491,Male,30,Souvenir,2,23.46,Cash,13-Sep-19,September,2019,Kanyon
I340014,C169650,Female,66,Clothing,2,600.16,Credit Card,12-Apr-20,April,2020,Istinye Park
I249424,C158160,Male,22,Food & Beverage,1,5.23,Cash,14-Nov-19,November,2019,Mall of Istanbul
I227716,C552345,Male,53,Food & Beverage,2,10.46,Cash,18-Jul-19,July,2019,Kanyon
I140663,C218383,Female,52,Clothing,5,1500.4,Cash,18-Jul-19,July,2019,Zorlu Center
I253242,C309438,Male,26,Shoes,5,3000.85,Cash,3-Apr-21,April,2021,Mall of Istanbul
I108359,C253905,Male,66,Food & Beverage,1,5.23,Cash,29-Mar-21,March,2021,Mall of Istanbul
I195567,C992677,Male,65,Clothing,4,1200.32,Debit Card,15-Dec-21,December,2021,Metropol AVM
I289643,C584700,Female,43,Technology,2,2100,Cash,20-May-20,May,2020,Kanyon
I722319,C157070,Female,59,Toys,1,35.84,Debit Card,2-Nov-20,November,2020,Kanyon
I317105,C177975,Female,30,Souvenir,5,58.65,Debit Card,25-Jul-20,July,2020,Kanyon
I215721,C830576,Female,25,Cosmetics,2,81.32,Debit Card,14-Mar-19,March,2019,Metrocity
I154469,C807389,Female,29,Toys,3,107.52,Debit Card,2-Jul-20,July,2020,Mall of Istanbul
I172458,C277842,Female,19,Clothing,2,600.16,Debit Card,17-Dec-19,December,2019,Cevahir AVM
I297270,C183011,Male,62,Clothing,5,1500.4,Credit Card,6-Dec-20,December,2020,Metropol AVM
I153930,C567813,Male,39,Food & Beverage,3,15.69,Cash,4-Mar-21,March,2021,Forum Istanbul
I282854,C282974,Female,33,Clothing,3,900.24,Cash,17-Jul-21,July,2021,Kanyon
I869144,C181972,Female,26,Food & Beverage,4,20.92,Debit Card,4-Nov-20,November,2020,Mall of Istanbul
I283443,C189493,Male,43,Technology,3,3150,Credit Card,5-Apr-21,April,2021,Viaport Outlet
I193271,C242748,Female,40,Food & Beverage,3,15.69,Debit Card,1-Mar-20,March,2020,Kanyon
I985478,C324683,Male,55,Clothing,4,1200.32,Credit Card,19-Oct-21,October,2021,Kanyon
